title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale
RollerCoaster Tycoon    ,PC,0.04m,0.02m,0.02m,N/A,0.00m
Star X    ,GBA,0.04m,0.03m,0.01m,N/A,0.00m
WarTech: Senko no Ronde    ,X360,0.04m,0.04m,0.00m,N/A,0.00m
Dragon's Dogma: Dark Arisen    ,XOne,0.04m,0.04m,N/A,N/A,0.00m
Jerry Rice and Nitus' Dog Football    ,Wii,0.04m,0.04m,N/A,N/A,0.00m
The History Channel: Great Battles - Medieval    ,PS3,0.04m,N/A,0.04m,N/A,0.01m
City Life: World Edition    ,PC,0.04m,N/A,0.04m,N/A,0.00m
Resident Evil: Revelations    ,PC,0.04m,N/A,0.04m,N/A,0.00m
The King of Fighters Kyo    ,PS,0.04m,N/A,N/A,0.04m,0.00m
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. Zoku    ,PSV,0.04m,N/A,N/A,0.04m,N/A
Record of Agarest War Mariage    ,PSP,0.04m,N/A,N/A,0.04m,N/A
San-X Land: Theme Park de Asobou!    ,DS,0.04m,N/A,N/A,0.04m,N/A
Corpse Party: Book of Shadows    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Deer Hunter Reloaded    ,XOne,0.04m,0.04m,N/A,N/A,0.00m
428: Fuusa Sareta Shibuya de    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Tennis no Oji-Sama: DokiDoki Survival - Sanroku no Mystic    ,PS2,0.04m,N/A,N/A,0.04m,N/A
To Heart 2 Portable    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Runaway: A Twist of Fate    ,PC,0.04m,N/A,0.04m,N/A,0.01m
Mahjong * Dream C Club    ,PS3,0.04m,N/A,N/A,0.04m,N/A
Naruto Shippuuden: Dairansen! Kage Bunsen Emaki    ,DS,0.04m,N/A,N/A,0.04m,N/A
Overcooked    ,XOne,0.04m,0.04m,N/A,N/A,0.00m
Twilight Syndrome: Kinjiratera Toshi Densetsu    ,DS,0.04m,N/A,N/A,0.04m,N/A
National Geographic Challenge!    ,PS3,0.04m,0.01m,0.03m,N/A,0.01m
Tom Clancy's HAWX    ,PC,0.04m,N/A,0.03m,N/A,0.01m
True Love Story 3    ,PS2,0.04m,N/A,N/A,0.04m,N/A
The Idolm@ster: Must Songs - Red Board / Blue Board    ,PSV,0.04m,N/A,N/A,0.04m,N/A
Little Battlers eXperience W    ,PSV,0.04m,N/A,N/A,0.04m,N/A
The Smurfs    ,PS,0.04m,0.02m,0.02m,N/A,0.00m
Strike Force Bowling    ,XB,0.04m,0.03m,0.01m,N/A,0.00m
Chessmaster    ,GBA,0.04m,0.03m,0.01m,N/A,0.00m
Blood Will Tell: Tezuka Osamu's Dororo     ,PS2,0.04m,0.02m,0.02m,N/A,0.01m
Coraline    ,DS,0.04m,0.04m,0.00m,N/A,0.00m
Aegis of Earth: Protonovus Assault    ,PSV,0.04m,0.01m,0.02m,N/A,0.01m
Hotel Transylvania 3: Monsters Overboard    ,XOne,0.04m,0.04m,N/A,N/A,0.00m
SPRay    ,Wii,0.04m,0.04m,N/A,N/A,0.00m
Attack of the Movies 3D    ,X360,0.04m,0.04m,N/A,N/A,0.00m
Red Ninja: End of Honor    ,PS2,0.04m,0.02m,0.02m,N/A,0.01m
Air Conflicts: Secret Wars    ,PS4,0.04m,0.03m,N/A,N/A,0.01m
The Wolf Among Us    ,PSV,0.04m,0.03m,N/A,N/A,0.01m
Heavy Rain: Move Edition    ,PS3,0.04m,N/A,0.03m,N/A,0.01m
Kanuchi: Shiroki Tsubasa no Shou    ,PS2,0.04m,N/A,N/A,0.04m,N/A
SX Superstar    ,XB,0.04m,0.03m,0.01m,N/A,0.00m
Katekyoo Hitman Reborn! Battle Arena    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Saint Seiya: The Hades    ,PS2,0.04m,N/A,N/A,0.04m,N/A
Naruto Shippuuden: Shinobi Retsuden III    ,DS,0.04m,N/A,N/A,0.04m,N/A
Saki Portable    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Outlaw Tennis    ,XB,0.04m,0.03m,0.01m,N/A,0.00m
Earthfall    ,PS4,0.04m,0.03m,N/A,N/A,0.01m
MLB 15: The Show    ,PSV,0.04m,0.03m,N/A,N/A,0.01m
Langrisser: Re:Incarnation Tensei    ,3DS,0.04m,0.03m,N/A,0.01m,0.00m
Resident Evil 5    ,XOne,0.04m,0.04m,N/A,N/A,0.00m
Sengoku BASARA Sanada Yukimura-den    ,PS3,0.04m,N/A,N/A,0.04m,N/A
Ore no Imouto ga Konna ni Kawaii wake ga Nai. Happy End    ,PS3,0.04m,N/A,N/A,0.04m,N/A
Renai Revenge    ,PSV,0.04m,N/A,N/A,0.04m,N/A
Thrillville: Off the Rails    ,DS,0.04m,0.03m,0.01m,N/A,0.00m
Battle Rage    ,Wii,0.04m,0.04m,N/A,N/A,0.00m
Darksiders: Warmastered Edition    ,XOne,0.04m,0.04m,N/A,N/A,0.00m
Igor: The Game    ,DS,0.04m,0.04m,N/A,N/A,0.00m
No Rules: Get Phat    ,GBA,0.04m,0.03m,0.01m,N/A,0.00m
Dead Head Fred    ,PSP,0.04m,0.04m,0.00m,N/A,0.00m
XBLAZE Code: Embryo    ,PSV,0.04m,0.02m,N/A,0.01m,0.01m
Zombi Daisuki    ,DS,0.04m,N/A,N/A,0.04m,N/A
Myth Makers: Trixie in Toyland    ,Wii,0.04m,0.04m,N/A,N/A,0.00m
Sea Monsters: A Prehistoric Adventure    ,Wii,0.04m,0.04m,0.00m,N/A,0.00m
Secret Files: Tunguska    ,PC,0.04m,N/A,0.04m,N/A,0.00m
Praetorians    ,PC,0.04m,N/A,0.04m,N/A,0.00m
The Monkey King: The Legend Begins    ,Wii,0.04m,0.04m,N/A,N/A,0.00m
Diabolik Lovers: Lunatic Parade    ,PSV,0.04m,N/A,N/A,0.04m,N/A
"Negima!? Chou Mahora Taisen Kattoiin, Keiyaku Shikkou Dechai masuu    ",DS,0.04m,N/A,N/A,0.04m,N/A
Valkyria Revolution    ,XOne,0.04m,0.04m,N/A,N/A,0.00m
Idol Time PriPara: Yume All-Star Live!    ,3DS,0.04m,N/A,N/A,0.04m,N/A
Nike+ Kinect Training    ,X360,0.04m,0.02m,0.01m,N/A,0.00m
The Invincible Iron Man    ,GBA,0.04m,0.03m,0.01m,N/A,0.00m
Dance Dance Revolution Disney Mix    ,PS,0.04m,0.02m,0.02m,N/A,0.00m
NASCAR 07    ,XB,0.04m,0.03m,0.01m,N/A,0.00m
Maken Shao: Demon Sword    ,PS2,0.04m,N/A,N/A,0.04m,N/A
Casual Mania!    ,DS,0.04m,0.04m,0.00m,N/A,0.00m
Scaler    ,XB,0.04m,0.03m,0.01m,N/A,0.00m
Super Robot Taisen OG Infinite Battle    ,PS3,0.04m,N/A,N/A,0.04m,N/A
BeatMania IIDX 16: Empress + Premium Best    ,PS2,0.04m,N/A,N/A,0.04m,N/A
Emergency Room: Real Life Rescues    ,DS,0.04m,0.04m,N/A,N/A,0.00m
FIFA Soccer 2003 (weekly jp sales)    ,PS2,0.04m,N/A,N/A,0.04m,N/A
DoraMoji: Nobita no Kanji Daisakusen    ,3DS,0.04m,N/A,N/A,0.04m,N/A
High Heat Baseball 2002    ,PS,0.04m,0.02m,0.02m,N/A,0.00m
Metal Gear Solid HD Collection    ,PSV,0.04m,N/A,N/A,0.04m,N/A
Horses 3D    ,3DS,0.04m,0.04m,N/A,N/A,0.00m
Major League Baseball 2K12    ,PC,0.04m,0.04m,N/A,N/A,0.00m
James Cameron's Avatar: The Game    ,PC,0.04m,N/A,0.04m,N/A,0.00m
Puyo Pop Fever     ,PSP,0.04m,N/A,N/A,0.04m,N/A
Bloody Roar Extreme    ,XB,0.04m,0.03m,0.01m,N/A,0.00m
Hana to Ikimono Rittai Zukan    ,3DS,0.04m,N/A,N/A,0.04m,N/A
Adventure Time: Pirates of the Enchiridion     ,XOne,0.04m,0.04m,N/A,N/A,0.00m
Dragon Quest X: All in One Package    ,NS,0.04m,N/A,N/A,0.04m,N/A
Senran Kagura Burst Re:Newal    ,PS4,0.04m,N/A,N/A,0.04m,N/A
Tennis Masters Series 2003    ,XB,0.04m,0.03m,0.01m,N/A,0.00m
Shin Hayarigami    ,PS3,0.04m,N/A,N/A,0.04m,N/A
Ebikore+ Amagami    ,PSV,0.04m,N/A,N/A,0.04m,N/A
MLB SlugFest 20-04    ,GC,0.04m,0.03m,0.01m,N/A,0.00m
Jissen Pachislot Hisshouhou! Hokuto no Ken DS    ,DS,0.04m,N/A,N/A,0.04m,N/A
Pocket Pool    ,PSP,0.04m,0.04m,N/A,N/A,0.00m
Lise no Atelier: Ordre no Renkinjutsushi    ,DS,0.04m,N/A,N/A,0.04m,N/A
Dragon's Dogma Online    ,PS3,0.04m,N/A,N/A,0.04m,N/A
Hero Must Die    ,PSV,0.04m,N/A,N/A,0.04m,N/A
Resident Evil 6    ,PC,0.04m,N/A,0.04m,N/A,0.00m
Torino 2006    ,XB,0.04m,0.03m,0.01m,N/A,0.00m
Amnesia    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Tabi no Yubisashi Kaiwachou DS: DS Series 5 Deutsch    ,DS,0.04m,N/A,N/A,0.04m,N/A
Anima - Gate of Memories    ,PS4,0.04m,0.01m,0.02m,N/A,0.01m
The Kore Gang    ,Wii,0.04m,0.04m,0.00m,N/A,0.00m
Great Battle Full Blast    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Metal Slug 4 & 5    ,XB,0.04m,0.03m,0.01m,N/A,0.00m
Ar Nosurge: Ode to an Unborn Star    ,PSV,0.04m,N/A,N/A,0.04m,N/A
The Sims Deluxe    ,PC,0.04m,0.01m,0.02m,N/A,0.00m
Digimon Rumble Arena 2    ,GC,0.04m,0.03m,0.01m,N/A,0.00m
Wondership Q    ,PSV,0.04m,N/A,N/A,0.04m,N/A
Sine Mora EX    ,NS,0.04m,N/A,0.04m,N/A,0.00m
Adventure Time: Explore the Dungeon Because I Don't Know!    ,WiiU,0.04m,0.02m,0.02m,N/A,0.00m
NCIS    ,PC,0.04m,0.01m,0.02m,N/A,0.01m
Doki Doki! Pretty Cure Narikiri Life!    ,3DS,0.04m,N/A,N/A,0.04m,N/A
Gravity Falls: Legend of the Gnome Gemulets    ,3DS,0.04m,0.03m,0.00m,N/A,0.00m
Watashi no Relaxuma    ,DS,0.04m,N/A,N/A,0.04m,N/A
Phantom Kingdom Portable    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Pac-Man World Rally    ,PSP,0.04m,0.04m,N/A,N/A,0.00m
Challenge Me: Maths Workout    ,DS,0.04m,0.04m,0.00m,N/A,0.00m
Way of the Samurai 2 Portable    ,PSP,0.04m,N/A,N/A,0.04m,N/A
One Piece: Great Pirate Colosseum    ,3DS,0.04m,N/A,N/A,0.04m,N/A
The Legend of Heroes: Trails in the Sky SC Evolution    ,PSV,0.04m,N/A,N/A,0.04m,N/A
You Don't Know Jack    ,PC,0.04m,0.04m,N/A,N/A,0.00m
Deadliest Warrior: Ancient Combat    ,X360,0.04m,0.04m,N/A,N/A,0.00m
Code Geass: Hangyaku no Lelouch R2 - Banjou no Geass Gekijou    ,DS,0.04m,N/A,N/A,0.04m,N/A
IL-2 Sturmovik: 1946    ,PC,0.04m,N/A,0.04m,N/A,0.00m
Hellboy: The Science of Evil    ,PSP,0.04m,0.04m,0.00m,N/A,0.00m
Mortimer Beckett and the Secrets of Spooky Manor    ,Wii,0.04m,0.04m,N/A,N/A,0.00m
LEGO Indiana Jones: The Original Adventures    ,PC,0.04m,0.02m,0.02m,N/A,0.00m
Little Busters! Converted Edition    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Sengoku Otome: Legend Battle    ,PSV,0.04m,N/A,N/A,0.04m,N/A
Fashion Week Jr. Designer    ,DS,0.04m,0.04m,0.00m,N/A,0.00m
Unison: Rebels of Rhythm & Dance     ,PS2,0.04m,0.02m,0.02m,N/A,0.01m
Zoo Quest: Puzzle Fun!    ,DS,0.04m,0.04m,0.00m,N/A,0.00m
Duke Nukem Trilogy: Critical Mass    ,DS,0.04m,0.04m,0.00m,N/A,0.00m
Tennis no Oji-Sama: DokiDoki Survival - Umibe no Secret    ,PS2,0.04m,N/A,N/A,0.04m,N/A
WTF: Work Time Fun    ,PSP,0.04m,0.04m,N/A,N/A,0.00m
Gormiti: The Lords of Nature!    ,Wii,0.04m,0.03m,0.00m,N/A,0.00m
Dungeon Raiders    ,DS,0.04m,0.04m,N/A,N/A,0.00m
Just Sing! Vol. 2    ,DS,0.04m,N/A,0.04m,N/A,0.00m
B.L.U.E.: Legend of Water    ,PS,0.04m,N/A,N/A,0.04m,0.00m
Dark Half    ,SNES,0.04m,N/A,N/A,0.04m,0.00m
Axiom Verge    ,PS4,0.04m,0.03m,N/A,N/A,0.01m
Elven Legacy    ,PC,0.04m,0.04m,N/A,N/A,0.00m
Split/Second    ,PC,0.04m,N/A,0.04m,N/A,0.01m
Planet Coaster    ,PC,0.04m,N/A,0.04m,N/A,0.00m
Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Gakkou-Hen    ,DS,0.04m,N/A,N/A,0.04m,N/A
Shukufuku no Campanella Portable    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Guilty Gear XX Accent Core    ,Wii,0.04m,0.03m,0.00m,0.00m,0.00m
Jewel Quest Mysteries 2: Trail of the Midnight Heart    ,DS,0.04m,N/A,0.04m,N/A,0.00m
Paws & Claws: Regal Resort    ,DS,0.04m,0.04m,N/A,N/A,0.00m
LEGO Pirates of the Caribbean: The Video Game    ,PC,0.04m,0.04m,N/A,N/A,0.00m
Chaos;Head - Love Chu*Chu!    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Deadliest Warrior: Ancient Combat    ,PS3,0.04m,0.04m,N/A,N/A,0.00m
Game of Thrones: A Telltale Games Series    ,XOne,0.04m,0.04m,N/A,N/A,0.00m
Yourself Fitness    ,PS2,0.04m,0.02m,0.02m,N/A,0.01m
Need for Speed: ProStreet    ,PC,0.04m,N/A,0.04m,N/A,0.00m
Star Trek: Shattered Universe    ,XB,0.04m,0.03m,0.01m,N/A,0.00m
12Riven: The Psi-Climinal of Integral    ,PS2,0.04m,N/A,N/A,0.04m,N/A
Battle Spirits: Digital Starter    ,DS,0.04m,N/A,N/A,0.04m,N/A
Alia's Carnival! Sacrament    ,PSV,0.04m,N/A,N/A,0.04m,N/A
Mazes of Fate DS    ,DS,0.04m,0.04m,N/A,N/A,0.00m
Game of Thrones: A Telltale Games Series    ,X360,0.04m,0.03m,0.00m,N/A,0.00m
Barnyard    ,Wii,0.04m,0.04m,0.00m,N/A,0.00m
Lionel Trains: On Track    ,DS,0.04m,0.04m,0.00m,N/A,0.00m
Painkiller: Hell & Damnation    ,PS3,0.04m,0.02m,0.02m,N/A,0.01m
WarJetz    ,PS2,0.04m,0.02m,0.02m,N/A,0.01m
Breeding Stud 2    ,PS,0.04m,N/A,N/A,0.04m,0.00m
Banushi Life Game: Winner's Circle    ,DS,0.04m,N/A,N/A,0.04m,N/A
Syberia III    ,PC,0.04m,0.02m,0.02m,N/A,0.00m
Catwoman    ,GBA,0.04m,0.03m,0.01m,N/A,0.00m
Gakuen Hetalia Portable    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Chibi Maruko-Chan DS: Maru-Chan no Machi    ,DS,0.04m,N/A,N/A,0.04m,N/A
Capcom Fighting Evolution    ,XB,0.04m,0.03m,0.01m,N/A,0.00m
Gray Matter    ,X360,0.04m,N/A,0.04m,N/A,0.00m
MLB 2K12 / NBA 2K12 Combo Pack    ,X360,0.04m,0.04m,N/A,N/A,0.00m
Bella Sara 2 - The Magic of Drasilmare    ,3DS,0.04m,N/A,0.04m,N/A,0.00m
Scribblenauts Mega Pack    ,XOne,0.04m,0.04m,N/A,N/A,0.00m
Unbox: Newbie's Adventure    ,PS4,0.04m,0.03m,N/A,N/A,0.01m
IGT Slots: Lucky Larry's Lobstermania    ,PC,0.04m,0.04m,N/A,N/A,0.00m
Novastorm    ,PS,0.04m,0.02m,0.02m,N/A,0.00m
Fushigi no Dungeon - Furai no Shiren 4 Plus: Kami no Hitomi to Akuma no Heso    ,PSP,0.04m,N/A,N/A,0.04m,N/A
World Poker Tour    ,PSP,0.04m,0.04m,0.00m,N/A,0.00m
Prey    ,PC,0.04m,N/A,0.04m,N/A,0.00m
Metal Gear Solid: Digital Graphic Novel    ,PSP,0.04m,0.02m,0.00m,0.02m,0.00m
PopCap Arcade Vol 1    ,X360,0.04m,0.04m,N/A,N/A,0.00m
Dead Ball Zone    ,PS,0.04m,0.02m,0.02m,N/A,0.00m
Metal Slug XX    ,PSP,0.04m,0.03m,0.00m,N/A,0.01m
NBA In The Zone '99    ,N64,0.04m,0.04m,N/A,N/A,0.00m
NBA in the Zone 2000    ,N64,0.04m,0.04m,N/A,N/A,0.00m
Winning Post World 2010    ,PS3,0.04m,N/A,N/A,0.04m,N/A
Do-Konjou Shougakussei: Bon Bita - Hadaka no Choujou Ketsusen!! Bita vs. Dokuro Dei!    ,DS,0.04m,N/A,N/A,0.04m,N/A
Farm Frenzy    ,PC,0.04m,0.04m,N/A,N/A,0.00m
Haunted Casino    ,SAT,0.04m,N/A,N/A,0.04m,N/A
Terraria    ,XOne,0.04m,N/A,0.04m,N/A,0.00m
World Series Baseball    ,SAT,0.04m,N/A,N/A,0.04m,N/A
New Little King's Story    ,PSV,0.04m,N/A,N/A,0.04m,N/A
PlayStation Move Ape Escape    ,PS3,0.04m,N/A,0.03m,N/A,0.01m
Aeon Flux    ,PS2,0.04m,0.02m,0.02m,N/A,0.01m
Diabolik Lovers: Dark Fate    ,PSV,0.04m,N/A,N/A,0.04m,N/A
8 to Glory: The Official Game of the PBR    ,PS4,0.04m,0.03m,N/A,N/A,0.01m
Dishonored: Death of the Outsider    ,PC,0.04m,0.01m,0.03m,N/A,0.00m
Demolition Company: Gold Edition    ,PC,0.04m,N/A,0.04m,N/A,N/A
Arctic Tale    ,Wii,0.04m,0.04m,0.00m,N/A,0.00m
Chicken Blaster    ,DS,0.04m,0.04m,N/A,N/A,0.00m
The Legend of Heroes: Trails in the Sky Third Chapter    ,PSV,0.04m,N/A,N/A,0.04m,N/A
North American Hunting Extravaganza 2    ,Wii,0.04m,0.03m,0.00m,N/A,0.00m
S.Y.K Renshouden Portable    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Metal Max Returns    ,SNES,0.04m,N/A,N/A,0.04m,N/A
Shattered Union    ,XB,0.04m,0.03m,0.01m,N/A,0.00m
Black & White    ,PC,0.04m,N/A,0.04m,N/A,0.00m
Cube Creator DX    ,3DS,0.04m,N/A,N/A,0.04m,N/A
Atari Flashback Classics: Volume 1     ,NS,0.04m,0.04m,N/A,N/A,0.00m
Devil May Cry 4    ,PC,0.04m,0.01m,0.02m,N/A,0.00m
Mega Man X Legacy Collection 1+2    ,XOne,0.04m,0.04m,N/A,N/A,0.00m
Hanaoni: Yume no Tsudzuki    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Mat Hoffman's Pro BMX 2    ,GC,0.04m,0.03m,0.01m,N/A,0.00m
UnchainBlades ReXX    ,3DS,0.04m,N/A,N/A,0.04m,N/A
Free Running    ,Wii,0.04m,0.02m,0.02m,N/A,0.00m
Gal Gun    ,X360,0.04m,N/A,N/A,0.04m,N/A
NHL Hitz Pro    ,GC,0.04m,0.03m,0.01m,N/A,0.00m
Ookami Kakushi    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Deadly Arts    ,N64,0.04m,0.03m,0.01m,N/A,0.00m
Looney Tunes Duck Dodgers Starring: Daffy Duck    ,N64,0.04m,0.03m,0.01m,N/A,0.00m
Monaco Grand Prix    ,N64,0.04m,0.03m,0.01m,N/A,0.00m
PD Ultraman Battle Collection 64    ,N64,0.04m,N/A,N/A,0.04m,0.00m
Rally Challenge 2000    ,N64,0.04m,0.03m,0.01m,N/A,0.00m
Superman: Countdown to Apokolips    ,GBA,0.04m,0.03m,0.01m,N/A,0.00m
Worms Armageddon    ,N64,0.04m,0.03m,0.01m,N/A,0.00m
Zen-Nippon GT Senshuken    ,SNES,0.04m,N/A,N/A,0.04m,0.00m
Kikou Heidan J-Phoenix 2    ,PS2,0.04m,N/A,N/A,0.04m,N/A
Sengoku Musou 3 Z Special    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Elex    ,XOne,0.04m,0.04m,N/A,N/A,0.00m
Dragon's Lair 3D: Return to the Lair    ,GC,0.04m,0.03m,0.01m,N/A,0.00m
Harukanaru Toki no Naka de 5    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Port Royale 2    ,PC,0.04m,N/A,0.03m,N/A,0.01m
Worms 4: Mayhem    ,XB,0.04m,0.03m,0.01m,N/A,0.00m
Platinum Sudoku    ,DS,0.04m,0.03m,0.01m,N/A,0.00m
Winning Post 7 2012    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Here They Lie    ,PS4,0.04m,N/A,0.03m,N/A,0.01m
Point Blank 2    ,PS,0.04m,0.02m,0.02m,N/A,0.00m
Who Wants to Be a Millionaire: 3rd Edition    ,DS,0.04m,0.04m,N/A,N/A,0.00m
Company of Heroes: Tales of Valor    ,PC,0.04m,N/A,0.03m,N/A,0.01m
Farm Frenzy 3    ,PC,0.04m,N/A,0.03m,N/A,0.01m
Saru! Get You! Pipo Saru Senki    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Elex    ,PC,0.04m,N/A,0.04m,N/A,0.00m
Gummy Bears Mini Golf    ,Wii,0.04m,0.04m,N/A,N/A,0.00m
System 3 presents Ferrari Challenge Trofeo Pirelli    ,DS,0.04m,0.03m,0.01m,N/A,0.00m
J.League Pro Soccer Club o Tsukurou! 8 Euro Plus    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Patrician IV    ,PC,0.04m,0.03m,0.00m,N/A,0.00m
Under Night In-Birth Exe:Latest    ,PS4,0.04m,0.01m,N/A,0.03m,0.00m
Dark Souls Trilogy    ,XOne,0.04m,0.04m,N/A,N/A,0.00m
Imabikisou    ,PS3,0.04m,N/A,N/A,0.04m,N/A
The Treasures of Montezuma    ,DS,0.04m,0.02m,0.02m,N/A,0.00m
Hakuouki: Reimeiroku Portable    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Sega Ages 2500 Series Vol. 33: Fantasy Zone Complete Collection    ,PS2,0.04m,N/A,N/A,0.04m,N/A
Antz Extreme Racing    ,PS2,0.04m,0.02m,0.02m,N/A,0.01m
Motto TOEIC Test DS Training    ,DS,0.04m,N/A,N/A,0.04m,N/A
Reco Love: Blue Ocean    ,PSV,0.04m,N/A,N/A,0.04m,N/A
Atelier Iris 3: Grand Phantasm (JP Sales)    ,PS2,0.04m,N/A,N/A,0.04m,N/A
My Riding Stables: Life with Horses    ,PS4,0.04m,0.03m,N/A,N/A,0.01m
Super Robot Gakuen    ,DS,0.04m,N/A,N/A,0.04m,N/A
Atelier Sophie: The Alchemist of the Mysterious Book    ,PS3,0.04m,N/A,N/A,0.04m,N/A
The Sims 2: Pets    ,PC,0.04m,0.01m,0.02m,N/A,0.00m
Samurai Warriors 2: Empires    ,X360,0.04m,0.03m,0.00m,0.01m,0.00m
Jojo's Fashion Show: Design in a Dash!    ,DS,0.04m,0.04m,N/A,N/A,0.00m
Mike Tyson Boxing    ,GBA,0.04m,0.03m,0.01m,N/A,0.00m
The Legend of Heroes: Trails in the Sky FC    ,PS3,0.04m,N/A,N/A,0.04m,N/A
Meteos: Disney Magic    ,DS,0.04m,0.01m,0.02m,N/A,0.00m
Okami HD    ,NS,0.04m,N/A,N/A,0.04m,N/A
Go Diego Go!: Safari Rescue    ,PS2,0.04m,0.02m,0.02m,N/A,0.01m
Battle Chasers: Nightwar    ,XOne,0.04m,0.04m,N/A,N/A,0.00m
Heroes of Might and Magic V    ,PC,0.04m,N/A,0.03m,N/A,0.00m
Luxor: Pharaoh's Challenge     ,Wii,0.04m,0.01m,0.02m,N/A,0.00m
Don't Starve: Giant Edition    ,XOne,0.04m,0.04m,N/A,N/A,0.00m
Guild Wars    ,PC,0.04m,0.03m,0.00m,N/A,0.00m
Surviving Mars    ,PS4,0.04m,0.03m,N/A,N/A,0.01m
Clannad    ,PS2,0.04m,N/A,N/A,0.04m,N/A
Tom Clancy's Ghost Recon Wildlands    ,PC,0.04m,N/A,0.04m,N/A,0.00m
Monster Band    ,DS,0.04m,0.04m,N/A,N/A,0.00m
Fisherman's Challenge    ,PS2,0.04m,0.02m,0.02m,N/A,0.01m
Katekyoo Hitman Reborn! Battle Arena 2 - Spirits Burst    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Akko ni Omakase! Brain Shock    ,DS,0.04m,N/A,N/A,0.04m,N/A
Akko ni Omakase! Brain Shock    ,DS,0.04m,N/A,N/A,0.04m,N/A
Mission: Impossible - Operation Surma    ,GBA,0.04m,0.03m,0.01m,N/A,0.00m
Scribblenauts Mega Pack    ,PS4,0.04m,0.03m,N/A,N/A,0.01m
Aragami    ,PS4,0.04m,0.03m,N/A,N/A,0.01m
Super Black Bass Fishing    ,DS,0.04m,0.04m,0.00m,N/A,0.00m
King of Fighters: Maximum Impact Regulation A    ,PS2,0.04m,N/A,N/A,0.04m,N/A
Date A Live: Rine Utopia    ,PS3,0.04m,N/A,N/A,0.04m,N/A
Durarara!! 3way Standoff: Alley    ,PSP,0.04m,N/A,N/A,0.04m,N/A
The Da Vinci Code    ,XB,0.04m,0.03m,0.01m,N/A,0.00m
Yonder: The Cloud Catcher Chronicles    ,PS4,0.04m,0.03m,N/A,N/A,0.01m
Famicom Mini: Clu Clu Land    ,GBA,0.04m,N/A,N/A,0.04m,0.00m
Farming Simulator 17: Straw Harvest    ,PC,0.04m,N/A,0.04m,N/A,0.00m
Rollin' Rascals    ,DS,0.04m,0.04m,0.00m,N/A,0.00m
Ukiyo no Shishi    ,PS3,0.04m,N/A,N/A,0.04m,N/A
Assassin's Creed Chronicles: China    ,PS4,0.04m,N/A,0.03m,N/A,0.01m
GRID    ,PC,0.04m,N/A,0.03m,N/A,0.01m
Sacred Blaze    ,PS2,0.04m,N/A,N/A,0.04m,N/A
Virtua Tennis 4    ,PC,0.04m,N/A,0.03m,N/A,0.01m
Rise of Nations    ,PC,0.04m,0.01m,0.02m,N/A,0.00m
Haneru no Tobira DS: Tanshuku Tetsudou no Yoru    ,DS,0.04m,N/A,N/A,0.04m,N/A
JoJo's Bizarre Adventure: Eyes of Heaven    ,PS4,0.04m,N/A,N/A,0.04m,N/A
Medabots Girls Mission: Metabee Ver. / Rokusho Ver.    ,3DS,0.04m,N/A,N/A,0.04m,N/A
Mutant Football League: Dynasty Edition    ,XOne,0.04m,0.03m,N/A,N/A,0.00m
Lost Planet 3    ,PC,0.04m,N/A,0.04m,N/A,0.00m
Phantom Breaker    ,X360,0.04m,0.02m,N/A,0.02m,0.00m
Pure Pinball    ,XB,0.04m,0.03m,0.01m,N/A,0.00m
Thoroughbred Breeder II Plus    ,PS,0.04m,N/A,N/A,0.04m,0.00m
Hanaoni: Koisomeru Koku - Eikyuu no Shirushi    ,PSP,0.04m,N/A,N/A,0.04m,N/A
Men of War: Vietnam    ,PC,0.04m,0.00m,0.03m,N/A,0.01m
Zac to Ombra: Maboroshi no Yuuenchi    ,DS,0.04m,N/A,N/A,0.04m,N/A
WSC Real 11: World Snooker Championship    ,X360,0.04m,N/A,0.03m,N/A,0.00m
Daikaijuu Battle: Ultra Coliseum DX - Ultra Senshi Daishuuketsu    ,Wii,0.04m,N/A,N/A,0.04m,N/A
Shadow of the Colossus    ,PS3,0.04m,N/A,N/A,0.04m,N/A
Imperial Glory    ,PC,0.04m,N/A,0.04m,N/A,0.00m
