title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale
Resident Evil 2    ,PS,5.82m,1.88m,1.47m,2.02m,0.45m
Dragon Quest IX: Sentinels of the Starry Skies    ,DS,5.79m,0.63m,0.67m,4.35m,0.15m
Red Dead Redemption 2    ,XOne,5.77m,3.76m,1.47m,N/A,0.54m
Destiny    ,PS4,5.76m,2.53m,2.13m,0.16m,0.94m
Tekken 2    ,PS,5.74m,2.26m,1.89m,1.36m,0.23m
Uncharted: The Nathan Drake Collection    ,PS4,5.70m,2.55m,2.11m,0.10m,0.94m
LEGO Star Wars: The Complete Saga    ,Wii,5.66m,3.57m,1.57m,N/A,0.52m
Cooking Mama    ,DS,5.66m,3.09m,1.92m,0.07m,0.58m
New Super Mario Bros. U    ,WiiU,5.62m,2.30m,1.63m,1.32m,0.38m
Tetris    ,NES,5.58m,2.97m,0.69m,1.81m,0.11m
Assassin's Creed II    ,PS3,5.57m,2.54m,1.95m,0.21m,0.86m
Super Smash Bros.    ,N64,5.55m,2.95m,0.60m,1.97m,0.04m
Assassin's Creed    ,X360,5.55m,3.28m,1.64m,0.07m,0.56m
Batman: Arkham City    ,PS3,5.54m,2.72m,1.89m,0.11m,0.82m
Forza Motorsport 3    ,X360,5.50m,2.99m,1.90m,0.10m,0.51m
Monster Hunter Freedom Unite    ,PSP,5.50m,0.47m,0.57m,4.13m,0.34m
Super Mario Advance    ,GBA,5.49m,3.14m,1.24m,0.91m,0.20m
Mario Kart: Super Circuit    ,GBA,5.47m,2.62m,1.64m,0.99m,0.23m
Super Mario World: Super Mario Advance 2    ,GBA,5.46m,3.21m,1.11m,0.95m,0.20m
Pokémon Stadium    ,N64,5.45m,3.18m,1.24m,0.94m,0.09m
Luigi's Mansion: Dark Moon    ,3DS,5.44m,2.03m,1.88m,1.17m,0.36m
Minecraft    ,XOne,5.43m,3.23m,1.71m,N/A,0.49m
Call of Duty: World at War    ,PS3,5.43m,2.75m,1.84m,N/A,0.84m
Crash Bandicoot: The Wrath of Cortex    ,PS2,5.42m,2.07m,2.29m,0.24m,0.82m
The Witcher 3: Wild Hunt    ,PS4,5.39m,1.48m,2.82m,0.28m,0.81m
Final Fantasy XIII    ,PS3,5.35m,1.75m,1.23m,1.87m,0.51m
Dr. Mario    ,GB,5.34m,2.18m,0.96m,2.00m,0.20m
Assassin's Creed III    ,X360,5.31m,3.13m,1.71m,0.03m,0.45m
Pokémon Pinball    ,GBC,5.31m,3.02m,1.12m,1.01m,0.16m
Assassin's Creed II    ,X360,5.30m,3.14m,1.55m,0.08m,0.52m
Final Fantasy IX    ,PS,5.30m,1.62m,0.77m,2.78m,0.14m
Final Fantasy X-2    ,PS2,5.29m,1.92m,1.08m,2.11m,0.17m
Donkey Kong 64    ,N64,5.27m,3.33m,0.79m,1.09m,0.06m
Diablo III    ,PC,5.26m,2.50m,2.23m,N/A,0.53m
Tomb Raider II    ,PS,5.24m,2.30m,2.46m,0.20m,0.28m
Madden NFL 2004    ,PS2,5.23m,4.26m,0.26m,0.01m,0.71m
Call of Duty: Advanced Warfare    ,XOne,5.22m,3.25m,1.49m,0.01m,0.48m
Dragon Quest VIII: Journey of the Cursed King    ,PS2,5.21m,0.65m,0.75m,3.61m,0.20m
Super Mario Advance 4: Super Mario Bros. 3    ,GBA,5.20m,2.93m,1.25m,0.83m,0.20m
Professor Layton and the Curious Village    ,DS,5.20m,1.21m,2.44m,1.03m,0.51m
Super Mario Land 3: Wario Land    ,GB,5.19m,2.49m,0.98m,1.57m,0.15m
Donkey Kong Country 2: Diddy's Kong Quest    ,SNES,5.15m,2.10m,0.74m,2.20m,0.11m
Medal of Honor: Rising Sun    ,PS2,5.13m,1.98m,2.23m,0.13m,0.80m
Battlefield 1    ,XOne,5.13m,3.37m,1.26m,0.02m,0.48m
Kirby's Dream Land    ,GB,5.13m,2.71m,0.61m,1.70m,0.11m
Microsoft Flight Simulator    ,PC,5.12m,3.22m,1.69m,N/A,0.20m
Guitar Hero II    ,PS2,5.12m,3.81m,0.63m,N/A,0.68m
FIFA 13    ,X360,5.11m,1.10m,3.49m,0.03m,0.50m
Resident Evil 5    ,PS3,5.10m,1.96m,1.42m,1.08m,0.64m
Fable III    ,X360,5.10m,3.59m,1.09m,0.05m,0.37m
Mario & Sonic at the Olympic Games    ,DS,5.10m,1.63m,2.46m,0.44m,0.57m
The Legend of Zelda: Phantom Hourglass    ,DS,5.09m,1.85m,1.80m,0.95m,0.48m
Grand Theft Auto: Vice City Stories    ,PSP,5.08m,1.70m,2.03m,0.16m,1.19m
FIFA Soccer 11    ,PS3,5.08m,0.61m,3.28m,0.06m,1.12m
Super Mario Bros. Deluxe    ,GB,5.07m,3.40m,1.30m,0.15m,0.22m
Super Smash Bros. for Wii U    ,WiiU,5.07m,2.68m,1.15m,0.85m,0.39m
Final Fantasy XV    ,PS4,5.07m,1.81m,1.53m,1.05m,0.68m
Resident Evil    ,PS,5.05m,2.05m,1.16m,1.11m,0.73m
Fallout 4    ,XOne,5.03m,2.94m,1.62m,0.02m,0.45m
Tony Hawk's Pro Skater    ,PS,5.02m,3.42m,1.38m,0.02m,0.20m
Super Mario 3D World    ,WiiU,5.01m,2.31m,1.54m,0.79m,0.37m
Warzone 2100    ,PS,5.01m,2.79m,1.89m,N/A,0.33m
Spyro the Dragon    ,PS,5.00m,3.36m,1.36m,0.07m,0.21m
Guitar Hero III: Legends of Rock    ,PS2,4.98m,3.49m,0.01m,0.01m,1.48m
Link's Crossbow Training    ,Wii,4.98m,3.05m,1.17m,0.29m,0.46m
Super Mario Party    ,NS,4.97m,2.12m,1.64m,0.85m,0.36m
Uncharted: Drake's Fortune    ,PS3,4.97m,2.32m,1.73m,0.12m,0.80m
Fallout 3    ,X360,4.96m,3.41m,0.99m,0.09m,0.46m
Pokémon Mystery Dungeon: Explorers of Time / Darkness    ,DS,4.94m,1.83m,1.19m,1.54m,0.37m
Halo 5: Guardians    ,XOne,4.92m,2.94m,1.49m,0.03m,0.45m
Madden NFL 06    ,PS2,4.91m,3.98m,0.26m,0.01m,0.66m
Diddy Kong Racing    ,N64,4.88m,2.91m,0.99m,0.89m,0.10m
Monster Hunter Freedom 3    ,PSP,4.87m,N/A,0.00m,4.87m,0.00m
StarCraft II: Wings of Liberty    ,PC,4.86m,2.60m,1.70m,N/A,0.56m
Call of Duty: Black Ops IIII    ,XOne,4.85m,3.27m,1.12m,N/A,0.46m
Dr. Mario    ,NES,4.85m,2.62m,0.60m,1.52m,0.10m
Crash Bandicoot N. Sane Trilogy    ,PS4,4.83m,1.09m,2.92m,0.07m,0.74m
Assassin's Creed    ,PS3,4.83m,1.91m,2.01m,0.09m,0.82m
God of War III    ,PS3,4.81m,2.74m,1.36m,0.12m,0.60m
Call of Duty: Infinite Warfare    ,XOne,4.79m,2.91m,1.44m,N/A,0.44m
Crash Team Racing    ,PS,4.79m,2.57m,1.57m,0.44m,0.21m
LEGO Star Wars: The Complete Saga    ,DS,4.77m,2.83m,1.49m,N/A,0.45m
Batman: Arkham City    ,X360,4.75m,2.99m,1.28m,0.04m,0.44m
Driver 2    ,PS,4.73m,2.36m,2.10m,0.02m,0.25m
Splatoon    ,WiiU,4.71m,1.58m,1.30m,1.56m,0.27m
The Simpsons: Hit & Run    ,PS2,4.70m,1.73m,2.19m,N/A,0.79m
Tony Hawk's Pro Skater 2    ,PS,4.68m,3.05m,1.41m,0.02m,0.20m
Monster Hunter: World    ,PS4,4.67m,1.03m,1.06m,2.17m,0.42m
The Lord of the Rings: The Two Towers    ,PS2,4.67m,1.94m,1.95m,0.08m,0.70m
Animal Crossing: City Folk    ,Wii,4.65m,1.84m,1.13m,1.32m,0.36m
Tomb Raider    ,PS,4.63m,2.29m,1.97m,0.13m,0.24m
Nintendo Land    ,WiiU,4.63m,2.52m,1.23m,0.51m,0.38m
